Song Name,Movie,Category,Song Link
Manasu Manasu,Ammailu Anthe Ado Type,Sad,https://www.youtube.com/watch?v=QjgaOUQpgEI
Jlk Anthem-Andamaina Lokam,Jai Lava Kusa,Sad,https://www.youtube.com/watch?v=YEEQDBBoy-M
Gundelothulalo,Guru,Sad,https://www.youtube.com/watch?v=5Zw6MWA9Mz8
Neeru Neeru,Khaidi No 150,Sad,https://www.youtube.com/watch?v=1UO2khEUUx4
Oorikey Ala,Majnu,Sad,https://www.youtube.com/watch?v=GZoFbwN1FgQ
Puduthune Solo,Solo,Sad,https://www.youtube.com/watch?v=zQ2FFeVuTWg
Bujji Thalli,Thandel,Sad,https://www.youtube.com/watch?v=DDBUrQ8bdlc
Bujji Thalli-Sad version,Thandel,Sad,https://www.youtube.com/watch?v=M1DnAf_vLeY
Sastranga,Animal,Sad,https://www.youtube.com/watch?v=9DGgiYYPr58
Papa Meri Jan,Animal,Sad,https://www.youtube.com/watch?v=dTZIa4BnpGE
Pehle Bhi Main,Animal,Sad,https://www.youtube.com/watch?v=iAIBF2ngbWY
Oh I Miss You,Nenithe,Sad,https://www.youtube.com/watch?v=GNevBok4DT0
Nee Kosam,Happy,Sad,https://www.youtube.com/watch?v=XF_dgkHEkn4
Joo Lali,Vikramarkudu,Sad,https://www.youtube.com/watch?v=u9UXdKJlB-g
O Manasa O Manasa,Bhadra,Sad,https://www.youtube.com/watch?v=ojKEc3J113g
Udyogam Oodipoyindi,Maryada Ramanna,Sad,https://www.youtube.com/watch?v=r3rtt-2W_Q8
Deepali,Rebel,Sad,https://www.youtube.com/watch?v=25l-wR7jljg
Povodhe Prema,Oy,Sad,https://www.youtube.com/watch?v=aMLsfN_NGT4
Yedho,Awaara,Sad,https://www.youtube.com/watch?v=cqQgiwsrt4U
Yemito ,Andhala Rakshashi,Sad,https://www.youtube.com/watch?v=ZPZmMrUn63w
Em Cheppanu,Nenu Sailaja,Sad,https://www.youtube.com/watch?v=9m3mT4KV3es
 Ee Premaki,Nenu Sailaja,Sad,https://www.youtube.com/watch?v=KPLOG-0FyQI
Naa pranam ,Shopping Mall,Sad,https://www.youtube.com/watch?v=QIVe3r40E_I
Chirugaalulatho,Notebook,Sad,https://www.youtube.com/watch?v=4-TsFla5rNY
Varinche Prema,Malli Malli  Idhi Rani Raju,Sad,https://www.youtube.com/watch?v=ltLTwjjTehg
Manase Thadisela,Kick,Sad,https://www.youtube.com/watch?v=e1qK-r0OGC4
Manasu Palike,Andhala Rakshashi,Sad,https://www.youtube.com/watch?v=mzh1Gl-5rl4
Manasa Marchipo,Andhala Rakshash,Sad,https://www.youtube.com/watch?v=KtuNXUQ2_68
Sailaja Sailaja,Nenu Sailaja,Sad,https://www.youtube.com/watch?v=hgpNla8AkIQ
Nuvvika Raavani,Idhi Ma Prema Katha,Sad,https://www.youtube.com/watch?v=YzWHtF_42Do
Undiporadhey,Hushaaru,Sad,https://www.youtube.com/watch?v=jlmyZ_x5vjc
Lal Salam,Jailer,Angry,https://www.youtube.com/watch?v=FPxmc3DVUhI
Veede Veede,Jai Janaki Nayaka,Angry,https://www.youtube.com/watch?v=YppGjVkEUE8
Athadu,Athadu,Angry,https://www.youtube.com/watch?v=HpqfxXRhlgU
Jai Balayya,Akhanda,Angry,https://www.youtube.com/watch?v=-tOC-6mcErY
Raja Gajalu,Legend,Angry,https://www.youtube.com/watch?v=AvB2fs84RYI
Smells Like Teen Spirit,Nirvana,Angry,https://www.youtube.com/watch?v=hTWKbfoikeg
In The End,Linkin Park,Angry,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Lose Yourself,Eminem,Angry,https://www.youtube.com/watch?v=xFYQQPAOz7Y
Break Stuff,Limp Bizkit,Angry,https://www.youtube.com/watch?v=FtOnSQvz8yc
Killing in the Name,Rage Against the Machine,Angry,https://www.youtube.com/watch?v=bWXazVhlyxQ
Aazadi ,Thandel,Angry,https://www.youtube.com/watch?v=uDeIFNABqVU
Simham Simham,Singam,Angry,https://www.youtube.com/watch?v=d1vm5K8RpvA
Sooridu Sooridu,Singam,Angry,https://www.youtube.com/watch?v=lrHL57AviYI
Bullet,The Warrior,Angry,https://www.youtube.com/watch?v=WgrLE4Fqxeo
Sri Anjaneyam,Oosaravelli,Angry,https://www.youtube.com/watch?v=Bt7Is93l81E
Ga Eega Eega  Eega,Eega,Angry,https://www.youtube.com/watch?v=2utBci41sXc
Ruler,Dhammu,Angry,https://www.youtube.com/watch?v=eqYxwpaM4vk
Taxi,Khaleja,Angry,https://www.youtube.com/watch?v=9SmO7eWjk2E
Babu Rao,Anasuya,Fear,https://www.youtube.com/watch?v=RrzBOZfGKPA
Kshaminchu,Arundhati,Fear,https://www.youtube.com/watch?v=l9AdKxoIZCQ
Gundello Sudulu,Okka Kshanam,Fear,https://www.youtube.com/watch?v=bq8_Vn3KmCE
Dhada Dhadalade,Maryada Ramanna,Fear,https://www.youtube.com/watch?v=rZ4Nz3EK6GY
 Neetho Edo ,Paisa,Fear,https://www.youtube.com/watch?v=zomISGknVFA
La Lala Lalala,raju Gari gadhi-1,Fear,https://www.youtube.com/watch?v=ws-cjXSjObs
Varam Nan Unnai Teti,Chandramukhi,Fear,https://www.youtube.com/watch?v=1cs0GfHCw00
Vilaya Pralaya Moorthy,Kanchana,Fear,https://www.youtube.com/watch?v=JADMBzhOqZ0
Sandi Muni,kanchana 2,Fear,https://www.youtube.com/watch?v=zTejXbV_z-I
Moda Moda,kanchana 2,Fear,https://www.youtube.com/watch?v=gZI43Rk3Zwk
Rudra Kali,kanchana 3,Fear,https://www.youtube.com/watch?v=neodX7bzvgM
Bhu Bhu Bhujamgam,Arundathi,Fear,https://www.youtube.com/watch?v=l9AdKxoIZCQ
Prema katha chitram,Prema Katha Chitram,Fear,https://www.youtube.com/watch?v=ntTTzUzWNk4
Fear,Devara Part-1,Fear,https://www.youtube.com/watch?v=CKpbdCciELk
All Hail The Tiger,Devara Part-1,Fear,https://www.youtube.com/watch?v=L1kcIrlJiD0
Andamaina Lokam,Nuvvu Leka Nenu Lenu,Depressed,https://www.youtube.com/watch?v=O8IKocg-hG8
Andamaina Lokam,Nuvvu Leka Nenu Lenu,Depressed,https://www.youtube.com/watch?v=O8IKocg-hG8
Pranam,Ullasamga Utsahamga,Depressed,https://www.youtube.com/watch?v=cb-j43tmDVM
Manasantha,Prema Kavali,Depressed,https://www.youtube.com/watch?v=uY3j9yzkTqk
Orayyo,Rangasthalam,Depressed,https://www.youtube.com/watch?v=jlJ1Bm7CAGo
Na Prema Kathaku,Solo,Depressed,https://www.youtube.com/watch?v=ZmQgvDlNYIE
Devuda Devuda,Temper,Depressed,https://www.youtube.com/watch?v=T3Ea3BtqHT0
